ABSA GROUP,"336,720",0,0,"336,720",ZAR,"3,218,460.96",0.08
AFRICAN RAINBOW MINERALS,"44,658","61,258","37,412","68,504",ZAR,"992,449.57",0.03
ANGLO AMERICAN PLATINUM,"23,470","6,352","2,899","26,923",ZAR,"3,064,718.02",0.08
ANGLOGOLD ASHANTI REG.,"206,588","17,368","15,220","208,736",ZAR,"4,298,967.69",0.11
ASPEN PHARMACARE HOLDINGS,"195,853","83,070","89,895","189,028",ZAR,"2,658,235.91",0.07
BID CORPORATION,"154,205",0,0,"154,205",ZAR,"3,153,956.08",0.08
BIDVEST GROUP,"154,253","62,624","58,559","158,318",ZAR,"1,879,282.31",0.05
CAPITEC BANK HOLDINGS,"31,285","12,366","3,760","39,891",ZAR,"5,098,349.83",0.13
CLICKS GROUP,"116,195",0,0,"116,195",ZAR,"2,297,181.01",0.06
DISCOVERY,"204,830","35,094","38,945","200,979",ZAR,"1,807,929.54",0.05
FIRSTRAND,"2,296,943","307,780","188,657","2,416,066",ZAR,"9,204,061.11",0.24
GOLD FIELDS,"436,370","32,431","35,911","432,890",ZAR,"4,723,274.81",0.12
GROWTHPOINT PROPERTIES,"1,490,945","367,560",0,"1,858,505",ZAR,"1,789,800.90",0.05
HARMONY GOLD MINING,"235,408",0,0,"235,408",ZAR,"982,341.67",0.03
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
NIEN MADE ENTERPRISE,"91,000",0,"26,000","65,000",TWD,"969,114.96 0.03"
NOVATEK MICROELECTRONICS,"276,265","22,000","17,000","281,265",TWD,"5,479,519.09 0.14"
ONENESS BIOTECH,"111,000",0,0,"111,000",TWD,"1,153,450.11 0.03"
PEGATRON,"1,009,280","143,000","128,000","1,024,280",TWD,"2,558,201.36 0.07"
PHISON ELECTRONICS,"74,828",0,"74,828",0,TWD,0.00 0.00
POU CHEN,"1,160,061",0,0,"1,160,061",TWD,"1,389,960.14 0.04"
POWERTECH TECHNOLOGY,"398,355",0,"398,355",0,TWD,0.00 0.00
PRESIDENT CHAIN STORE,"263,528",0,0,"263,528",TWD,"2,605,086.11 0.07"
QUANTA COMPUTER,"1,333,150","229,000","232,000","1,330,150",TWD,"4,552,904.95 0.12"
REALTEK SEMICONDUCTOR,"227,337","18,000","21,000","224,337",TWD,"4,702,912.38 0.12"
RUENTEX DEV. -PROV-,0,"119,077","119,077",0,TWD,0.00 0.00
RUENTEX DEVELOPMENT,"486,693","420,077","339,000","567,770",TWD,"1,309,275.70 0.03"
SHANGHAI COMMERCIAL AND SAVINGS BK,"1,522,115","444,000","251,000","1,715,115",TWD,"2,929,092.21 0.08"
SHIN KONG FINANCIAL HOLDING,"4,676,620","4,640,204","3,407,000","5,909,824",TWD,"2,360,341.33 0.06"
SINOPAC HOLDINGS,"4,879,724","1,368,000","1,438,000","4,809,724",TWD,"2,807,570.49 0.07"
STANDARD FOODS,"202,304",0,"202,304",0,TWD,0.00 0.00
SYNNEX TECHNOLOGY INTERNATIONAL,"718,217","169,000","179,000","708,217",TWD,"1,694,580.96 0.04"
TAISHIN FINANCIAL HOLDINGS,"4,658,587","725,622","611,000","4,773,209",TWD,"3,269,321.65 0.09"
TAISHIN FINANCIAL HOLDINGS -PROV-,0,"211,622","211,622",0,TWD,0.00 0.00
TAIWAN BUSINESS BANK,"2,894,902",0,"2,894,902",0,TWD,0.00 0.00
TAIWAN CEMENT,"2,234,509","210,000",0,"2,444,509",TWD,"4,241,025.31 0.11"
TAIWAN COOPERATIVE FINANCIAL,"4,257,155","900,443","500,000","4,657,598",TWD,"4,284,377.94 0.11"
TAIWAN COOPERATIVE FINANCIAL -PROV-,0,"83,443","83,443",0,TWD,0.00 0.00
TAIWAN HIGH SPEED RAIL,"999,000",0,0,"999,000",TWD,"1,068,796.90 0.03"
TAIWAN MOBILE,"765,000",0,0,"765,000",TWD,"2,765,027.28 0.07"
TAIWAN SEMICONDUCTOR MANUFACTUR.,"11,839,319","1,580,000","1,554,000","11,865,319",TWD,"263,750,031.69 6.91"
UNIMICRON TECHNOLOGY,"605,000","47,000","92,000","560,000",TWD,"4,675,606.92 0.12"
UNI-PRESIDENT ENTERPRISES,"2,270,684","290,000","285,000","2,275,684",TWD,"5,642,532.35 0.15"
UNITED MICROELECTRONICS,"5,695,000","793,000","867,000","5,621,000",TWD,"13,205,806.45 0.35"
VANGUARD INTL SEMICONDUCTOR,"460,000","135,000","154,000","441,000",TWD,"2,518,451.91 0.07"
VOLTRONIC POWER TECHNOLOGY,0,"28,000",0,"28,000",TWD,"1,563,595.82 0.04"
WALSIN TECHNOLOGY CORPORATION,"170,000","43,000","213,000",0,TWD,0.00 0.00
WAN HAI LINES,0,"288,200",0,"288,200",TWD,"2,067,723.55 0.05"
WAN HAI LINES -PROV-,0,"26,200","26,200",0,TWD,0.00 0.00
WIN SEMICONDUCTORS,"149,000","27,000",0,"176,000",TWD,"2,382,333.05 0.06"
WINBOND ELECTRONICS,"1,600,000","324,000","363,000","1,561,000",TWD,"1,918,314.48 0.05"
WISTRON,"1,202,792","605,000","615,000","1,192,792",TWD,"1,256,727.92 0.03"
WIWYNN,"33,408",0,0,"33,408",TWD,"1,346,366.60 0.04"
WPG HOLDING,"803,770",0,0,"803,770",TWD,"1,528,113.18 0.04"
YAGEO,"183,774",0,"17,000","166,774",TWD,"2,890,379.99 0.08"
YANG MING MARINE TRANSPORT,0,"882,000",0,"882,000",TWD,"3,857,375.71 0.10"
YUANTA FINANCIAL HOLDING,"4,423,221","822,000","467,000","4,778,221",TWD,"4,369,429.53 0.11"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
THAILANDE / THAILAND,,,,,,
ADVANCED INFO SERVICE -NVDR-,"575,081","57,400","62,600","569,881",THB,"3,923,743.30 0.10"
AIRPORTS OF THAILAND -FGN-,"2,089,200","189,800","173,200","2,105,800",THB,"3,845,346.94 0.10"
ASSET WORLD -NVDR-,"4,756,646",0,"2,191,345","2,565,301",THB,"356,323.85 0.01"
B.GRIMM POWER -FGN-,"389,900","549,700","272,700","666,900",THB,"808,545.22 0.02"
BANGKOK BANK -FGN-,"255,200",0,"255,200",0,THB,0.00 0.00
BANGKOK COM. ASSET MANA.-NVDR-,"953,078",0,0,"953,078",THB,"616,269.64 0.02"
BANGKOK DUSIT MEDICAL SERV. -FGN-,"4,511,600","506,800","492,300","4,526,100",THB,"3,116,309.29 0.08"
BANGKOK EXPRESSWAY & METRO -NVDR-,"4,100,858","1,375,100","1,335,700","4,140,258",THB,"1,047,303.82 0.03"
BERLI JUCKER -FGN-,"633,600",0,0,"633,600",THB,"587,983.90 0.02"
BTS GROUP HOLDINGS -NVDR-,"3,370,965",0,0,"3,370,965",THB,"943,527.21 0.02"
BTS GROUP NVDR WTS,0,"168,548","168,548",0,THB,0.00 0.00
BTS GROUP NVDR WTS,0,"674,193","674,193",0,THB,0.00 0.00
BTS GROUP NVDR WTS 21/PERP,0,"337,096","337,096",0,THB,0.00 0.00
BTS GROUP NVDR WTS 21/PERP -PROV-,0,"337,096","337,096",0,THB,0.00 0.00
BTS GROUP NVDR WTS -PROV-,0,"674,193","674,193",0,THB,0.00 0.00
BTS GROUP NVDR WTS -PROV-,0,"168,548","168,548",0,THB,0.00 0.00
BTS GROUP WTS PERP,"342,650",0,"342,650",0,THB,0.00 0.00
BUMRUNGRAD HOSPITAL -NVDR-,"236,803","85,900","82,500","240,203",THB,"1,013,878.97 0.03"
CARABAO GROUP -FGN-,0,"171,100",0,"171,100",THB,"612,077.60 0.02"
CARABAO GROUP PUBLIC,0,"171,100","171,100",0,THB,0.00 0.00
CENTRAL PATTANA -FGN-,"1,019,300",0,"226,400","792,900",THB,"1,341,082.33 0.04"
CENTRAL PATTANA -NVDR-,"82,800",0,0,"82,800",THB,"140,044.92 0.00"
CENTRAL RETAIL -FGN-,"756,929",0,0,"756,929",THB,"725,092.97 0.02"
CHAROEN POKPHAND FOODS -FGN-,"1,659,400",0,0,"1,659,400",THB,"1,266,717.70 0.03"
CP ALL -FGN-,"2,795,400","196,000","182,900","2,808,500",THB,"4,960,380.75 0.13"
DELTA ELECTRONICS -NVDR-,"162,900",0,"18,772","144,128",THB,"1,777,600.44 0.05"
ELECTRICITY GENERATING -FGN-,"155,200",0,"155,200",0,THB,0.00 0.00
ENERGY ABSOLUTE -NVDR-,"593,532","165,000",0,"758,532",THB,"2,179,885.65 0.06"
GLOBAL POWER SYNERGY -FGN-,"377,300",0,0,"377,300",THB,"1,002,406.19 0.03"
GULF ENERGY DEVELOPMENT -NVDR-,"1,219,286","288,600",0,"1,507,886",THB,"2,065,133.75 0.05"
HOME PRODUCT CENTER -FGN-,"2,981,124","742,000","813,300","2,909,824",THB,"1,263,058.01 0.03"
INDORAMA VENTURES -FGN-,"896,333","288,600","226,700","958,233",THB,"1,240,640.07 0.03"
INTOUCH HOLDINGS -FGN-,"1,036,960","468,400","1,036,960","468,400",THB,"1,125,253.83 0.03"
KASIKORNBANK -FGN-,"170,180",0,"170,180",0,THB,0.00 0.00
KASIKORNBANK -NVDR-,"667,628",0,"667,628",0,THB,0.00 0.00
KRUNG THAI BANK -NVDR-,"1,848,577",0,0,"1,848,577",THB,"730,466.06 0.02"
KRUNGTHAI CARD -NVDR-,"295,391","203,500",0,"498,891",THB,"884,876.38 0.02"
LAND & HOUSE -FGN-,"3,086,000","1,230,800",0,"4,316,800",THB,"1,137,190.37 0.03"
MINOR INTERNATIONAL -FGN-,"1,577,182","823,690","714,000","1,686,872",THB,"1,451,805.88 0.04"
MINOR INTERNATIONAL WTS 050224,0,"48,893","48,893",0,THB,0.00 0.00
MINOR INTERNATIONAL WTS 050523,0,"53,951","53,951",0,THB,0.00 0.00
MINOR INTL (SHS + FGN) WTS 310723,"71,690",0,"71,690",0,THB,0.00 0.00
MUANGTHAI CAPITAL -NVDR-,"337,918",0,0,"337,918",THB,"594,302.81 0.02"
OSOTSPA -FGN-,"357,500","319,500",0,"677,000",THB,"694,125.21 0.02"
PTT EXPLORATION & PROD.-NVDR-,"639,843",0,0,"639,843",THB,"2,260,185.08 0.06"
PTT GLOBAL CHEMICAL -FGN-,"1,000,859",0,0,"1,000,859",THB,"1,760,229.69 0.05"
PTT -NVDR-,"5,399,373","529,200","1,107,247","4,821,326",THB,"5,484,520.54 0.14"
PTT OIL & RETAIL BUSINESS NVDR,0,"1,333,800",0,"1,333,800",THB,"1,078,060.29 0.03"
RATCH GROUP -FGN-,"387,000",0,0,"387,000",THB,"521,329.20 0.01"
SCG PACKAGING -FGN-,0,"558,000",0,"558,000",THB,"1,156,758.10 0.03"
"",31.12.2020 / Käufe,Verkäufe,31.12.2021 /,,Währung,Marktwert fortune totale du
"",Gesamtsumme,,Gesamtsumme,,,(en / in USD) compartiment /
"",zum 31.12.2020,,zum 31.12.2021,,,% des Vermögens
"",,,,,,des Teilvermögens
SCG PACKAGING -PUBLIC-,"0 558,000","558,000",,0,THB,0.00 0.00
SIAM CEMENT -FGN-,"74,400 0",0,,"74,400",THB,"859,703.73 0.02"
SIAM CEMENT -NVDR-,"310,658 30,800","27,137",,"314,321",THB,"3,632,028.73 0.10"
SIAM COMMERCIAL BANK -NVDR-,"446,609 199,800","217,330",,"429,079",THB,"1,631,283.91 0.04"
SRI TRANG GLOVES -FGN-,"0 289,800",0,,"289,800",THB,"262,429.31 0.01"
SRI TRANG GLOVES -FGN- -PROV-,"0 289,800","289,800",,0,THB,0.00 0.00
SRI TRANG GLOVES THAILAND-FGN-,"144,900 0","144,900",,0,THB,0.00 0.00
SRISAWAD (100) WTS 300825,"14,976 0",0,,"14,976",THB,"4,483.16 0.00"
SRISAWAD -FGN-,"374,400 0",0,,"374,400",THB,"692,088.09 0.02"
THAI OIL -FGN-,"588,900 0",0,,"588,900",THB,"872,640.42 0.02"
THAI UNION GROUP -NVDR-,"1,711,227 0","519,000",,"1,192,227",THB,"695,956.58 0.02"
TOTAL ACCESS COMMUNICATION -FGN-,"375,500 0","375,500",,0,THB,0.00 0.00
TRUE CORPORATION -FGN-,"6,012,658 0",0,,"6,012,658",THB,"860,365.46 0.02"
"",,,,,,
"",,,,,,"63,223,435.35 1.66"
TURQUIE / TÜRKEI,,,,,,
AKBANK,"1,548,846 530,177","581,584",,"1,497,439",TRY,"811,879.99 0.02"
ASELSAN,"151,118 326,723","203,962",,"273,879",TRY,"430,625.19 0.01"
BIM BIRLESIK MAGAZALAR,"223,762 0","36,809",,"186,953",TRY,"862,984.73 0.02"
EREGLI DEMIR VE CELIK FABR.TURK,"720,355 145,643","146,413",,"719,585",TRY,"1,525,896.06 0.04"
FORD OTOMOTIV,"34,224 16,939","17,224",,"33,939",TRY,"608,511.28 0.02"
HACI OMER SABANCI HOLDING,"489,992 0","489,992",,0,TRY,0.00 0.00
KOC HOLDING,"414,922 402,914","384,379",,"433,457",TRY,"926,336.15 0.02"
TUPRAS-TURKIYE PETROL RAFINELERI,"67,481 0",0,,"67,481",TRY,"784,583.20 0.02"
TURK HAVA YOLLARI,"282,527 0","282,527",,0,TRY,0.00 0.00
TURK SISE CAM,"1,099,166 0","326,956",,"772,210",TRY,"778,039.66 0.02"
TURKCELL ILETISIM HIZMET,"594,171 0",0,,"594,171",TRY,"825,949.22 0.02"
TURKIYE GARANTI BANKASI,"1,215,766 0","257,453",,"958,313",TRY,"813,282.63 0.02"
TURKIYE IS BANKASI 'C',"844,085 0",0,,"844,085",TRY,"457,009.55 0.01"
YAPI VE KREDI BANKASI,"1,073,281 0","1,073,281",,0,TRY,0.00 0.00
"",,,,,,
"",,,,,,"8,825,097.66 0.23"
TOTAL ACTIONS ET AUTRES TITRES DE PARTICIPATION /,,,,,,
"",,,,,,"3,785,348,354.41 99.16"
TOTAL AKTIEN UND ANDERE BETEILIGUNGSPAPIERE,,,,,,
OBLIGATIONS ET AUTRES TITRES DE CRÉANCE / OBLIGATIONEN UND ANDERE FORDERUNGSWERTPAPIERE,,,,,,
VALEURS MOBILIERES NEGOCIEES SUR UN AUTRE MARCHE REGLEMENTE OUVERT AU PUBLIC /,,,,,,
AN EINEM ANDEREN GEREGELTEN UND OFFENEN MARKT GEHANDELTE WERTPAPIERE,,,,,,
INDE / INDIEN,,,,,,
5.5% BRITANNIA IND 21/24 INR29,"0 1,359,491","1,359,491",,0,INR,0.00 0.00
8% BRITANNIA INDUS.19/22 SR -PROV-,"0 46,879","46,879",,0,INR,0.00 0.00
UBS AG LONDON,USD,"1,511,265.20",-0.04
"",,,
TOTAL CREANCES RESULTANT D’OPERATIONS SUR DERIVES AVEC DES BROKERS /,,,
"",,"1,511,265.20",-0.04
ULTRA. PART.-NIL PAID--RIGHT-,0,"472,563","472,563",0,BRL,0.00,0.00
ULTRAPAR PARTICIPACOES -RIGHT-,0,"27,458","27,458",0,BRL,0.00,0.00
"",,,,,,,
"",,,,,,0.00,0.00
CHILI / CHILE,,,,,,,
SOC.QUIMICA -RIGHT NIL PAID-,0,"9,754","9,754",0,CLP,0.00,0.00
"",,,,,,,
"",,,,,,0.00,0.00
CHINE / CHINA,,,,,,,
BK NINGBO NIL-PAID,0,"17,370","17,370",0,CNH,0.00,0.00
BK NINGBO NIL-PAID,0,"17,370","17,370",0,CNY,0.00,0.00
HUAAN SEC.'A'-NIL PAID,0,"35,550","35,550",0,CNY,0.00,0.00
"",,,,,,,
"",,,,,,0.00,0.00
COREE DU SUD / SÜDKOREA,,,,,,,
HANWHA SOLUTIONS RIGHT,0,"8,248","8,248",0,KRW,0.00,0.00
HYUNDAI -NIL PAID-,0,585,585,0,KRW,0.00,0.00
KOREAN AIR LINES -NIL PAID- RIGHT,0,"33,792","33,792",0,KRW,0.00,0.00
SAMSUNG HEAVY RIGHT,0,"80,887","80,887",0,KRW,0.00,0.00
"",,,,,,,
"",,,,,,0.00,0.00
ILES CAIMANS / KAIMANINSELN,,,,,,,
CIFI HLDS -RIGHT- -NIL PAID-,0,"71,900","71,900",0,HKD,0.00,0.00
KAISA GROUP RIGHT - NILPAID-,0,"159,000","159,000",0,HKD,0.00,0.00
MICROP.- RIGHT -NIL PAID,0,273,273,0,HKD,0.00,0.00
"",,,,,,,
"",,,,,,0.00,0.00
INDE / INDIEN,,,,,,,
BHARTI AIRTEL RIGHT -NIL PAID-,0,"79,492","79,492",0,INR,0.00,0.00
"",,,,,,,
"",,,,,,0.00,0.00
INDONESIE / INDONESIEN,,,,,,,
BK RAYKAT INDO NIL-PAID RIGHT,0,"5,676,281","5,676,281",0,IDR,0.00,0.00
"",31.12.2020 / Käufe,,Verkäufe 31.12.2021 /,,Währung,Marktwert fortune totale du
"",Gesamtsumme,,Gesamtsumme,,,(en / in USD) compartiment /
"",zum 31.12.2020,,zum 31.12.2021,,,% des Vermögens
"",,,,,,des Teilvermögens
TAIWAN / TAIWAN,,,,,,
SHIN KONG FIN,"0 267,204",,"267,204 0",,TWD,0.00 0.00
"",,,,,,
"",,,,,,0.00 0.00
THAILANDE / THAILAND,,,,,,
CHAROEN -FGN--NIL PAID,"0 23,705",,"23,705 0",,THB,0.00 0.00
CP ALL -FGN--NIL PAID-,"0 174,166",,"174,166 0",,THB,0.00 0.00
SIAM MAK -FGN--NIL PAID,"0 197,871",,"197,871 0",,THB,0.00 0.00
"",,,,,,
"",,,,,,0.00 0.00
TOTAL DROITS / TOTAL RECHTE,,,,,,0.00 0.00
CHINE / CHINA,,,,,,
LEGEND HOLDINGS NIL-PAID,"20,184",0,"20,184 0",,HKD,0.00 0.00
"",,,,,,
"",,,,,,0.00 0.00
COREE DU SUD / SÜDKOREA,,,,,,
DOOSAN HEAVY IND&CONS-N.PAID RIGHT-,"0 20,235",,"0 20,235",,KRW,"74,897.42 0.00"
POSCO CHEM.NIL-PAID RIGHT,"2,571",0,"2,571 0",,KRW,0.00 0.00
"",,,,,,
"",,,,,,"74,897.42 0.00"
ILES CAIMANS / KAIMANINSELN,,,,,,
SEAZEN GROUP -RIGHT-,"0 45,142",,"0 45,142",,HKD,0.00 0.00
"",,,,,,
"",,,,,,0.00 0.00
TOTAL DROITS / TOTAL RECHTE,,,,,,"74,897.42 0.00"
Titres / Titel,Achats / Devise /,,Ventes /,,Devise /,Valeur de marché / % de la
"",Käufe Währung,,Verkäufe,,Währung,Marktwert fortune totale du
"",,,,,,(en / in USD) compartiment /
"",,,,,,% des Vermögens
"",,,,,,des Teilvermögens
OPERATIONS DE CHANGE A TERME / DEVISENTERMINGESCHÄFTE,,,,,,
FX-SW 30.12.2020-16.04.2021,"1,575,353.83 USD",,"1,715,000,000.00",,KRW,0.00 0.00
FX-SW 30.12.2020-30.04.2021,"1,575,064.32 USD",,"1,715,000,000.00",,KRW,0.00 0.00
FX-SW 26.07.2021-20.08.2021,"711,387.90 USD",,"20,000,000.00",,TWD,0.00 0.00
FX-SW 26.07.2021-20.08.2021,"1,778,469.75 USD",,"50,000,000.00",,TWD,0.00 0.00
FX-SW 06.10.2021-12.10.2021,"1,159,845.38 USD",,"17,500,000.00",,ZAR,0.00 0.00
FX-SW 20.09.2021-14.10.2021,"898,023.38 USD",,"25,000,000.00",,TWD,0.00 0.00
FX-SW 29.12.2021-10.01.2022,"201,637.63 USD",,"15,000,000.00",,RUB,"1,448.03 0.00"
"",,,,,,
TOTAL OPERATIONS DE CHANGE A TERME / TOTAL DEVISENTERMINGESCHÄFTE,,,,,,"1,448.03 0.00"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Verpflichtung
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD)
"",zum 31.12.2020,,,zum 31.12.2021,,
FUTURES / FUTURES,,,,,,
FUT E-MINI MSCI EM 50 NLI 19/03/21,302,300,602,0,USD,0.00
FUT E-MINI MSCI EM 50 NLI 18/06/21,0,602,602,0,USD,0.00
FUT E-MINI MSCI EM 50 NLI 17/09/21,0,575,575,0,USD,0.00
FUT E-MINI MSCI EM 50 NLI 17/12/21,0,707,707,0,USD,0.00
FUT E-MINI MSCI EM 50 NLI 18/03/22,0,465,32,433,USD,"26,672,973.20"
CNY,0.156903
COP,0.000246
CZK,0.045763
EGP,0.063654
